City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,hilo,19.7297,-155.09,26.08,81,75,5.14,US,1681349248
153,nikolskoye,59.7035,30.7861,5.94,82,98,3.99,RU,1681349343
154,luena,-11.7833,19.9167,16.89,95,100,0.77,AO,1681349495
155,trairi,-3.2778,-39.2689,24.35,85,88,2.34,BR,1681349400
156,manakara,-22.1333,48.0167,22.04,92,100,1.11,MG,1681349495
157,yerofey pavlovich,53.9667,121.9667,-0.28,62,100,2.1,RU,1681349495
158,monroe,43.1501,-77.6831,20.01,46,0,7.2,US,1681349495
159,lata,40.1629,-8.3327,12.67,53,100,3.32,PT,1681349446
160,san patricio,28.017,-97.5169,21.92,67,3,4.27,US,1681349357
161,nouadhibou,20.931,-17.0347,18.99,94,75,5.14,MR,1681349496
162,vao,-22.6667,167.4833,25.22,74,100,1.27,NC,1681349370
163,port blair,11.6667,92.75,29.62,63,7,1.1,IN,1681349496
164,faya,18.3851,42.4509,14.29,67,34,2.72,SA,1681349344
165,zhanaozen,43.3,52.8,16.25,48,63,3.14,KZ,1681349496
166,kodiak,57.79,-152.4072,7.73,42,0,5.14,US,1681349341
167,sechura,-5.5569,-80.8222,27.71,71,92,5.57,PE,1681349465
168,jutai,-5.1833,-68.9,23.43,96,83,0.9,BR,1681349497
169,avarua,-21.2078,-159.775,28.03,65,20,3.09,CK,1681349497
170,saint-leu,-21.15,55.2833,24.48,92,3,1.8,RE,1681349497
171,sorland,67.667,12.6934,6.92,81,100,9.39,NO,1681349433
172,peleduy,59.6289,112.7406,-2.98,76,88,2.53,RU,1681349497
173,teya,60.3778,92.6267,-2.06,90,100,6.84,RU,1681349497
174,traverse city,44.7631,-85.6206,25.04,37,0,5.66,US,1681349413
175,lichuan,30.3,108.85,16.47,82,100,1.05,CN,1681349498
176,gonen,40.1049,27.654,9.45,49,30,2.43,TR,1681349498
177,verkhnyaya toyma,62.2349,44.9985,-7.99,86,95,4.05,RU,1681349498
178,urucara,-2.5364,-57.76,23.18,98,94,0.97,BR,1681349498
179,jiangyou,31.7667,104.7167,20.32,75,99,1.14,CN,1681349498
180,decatur,39.8403,-88.9548,21.03,37,0,4.63,US,1681349496
181,vestmannaeyjar,63.4427,-20.2734,6.01,66,21,3.53,IS,1681349457
182,amurzet,47.6967,131.0981,7.13,37,98,6.9,RU,1681349499
183,loukhi,66.0764,33.0381,-7.8,83,9,2.24,RU,1681349499
184,meulaboh,4.1363,96.1285,25.39,89,77,1.68,ID,1681349300
185,pevek,69.7008,170.3133,-18.17,85,98,1.44,RU,1681349317
186,butaritari,3.0707,172.7902,27.6,73,79,3.23,KI,1681349300
187,faanui,-16.4833,-151.75,28.09,70,19,4.07,PF,1681349324
188,zihuatanejo,17.6333,-101.55,29.05,61,20,4.63,MX,1681349231
189,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,69,75,7.0,RU,1681349500
190,padang,-0.9492,100.3543,25.03,71,100,0.3,ID,1681349500
191,acapulco,16.8634,-99.8901,28.9,65,20,4.12,MX,1681349206
192,new norfolk,-42.7826,147.0587,17.62,63,67,0.45,AU,1681349306
193,ahipara,-35.1667,173.1667,19.18,82,100,4.45,NZ,1681349442
194,chokurdakh,70.6333,147.9167,-15.13,90,10,2.51,RU,1681349305
195,chardara,41.2547,67.9692,16.85,65,100,4.08,KZ,1681349500
196,ozernovskiy,51.5,156.5167,1.37,84,100,9.04,RU,1681349501
197,karak,31.1667,35.75,6.62,84,72,9.29,JO,1681349501
198,kaitangata,-46.2817,169.8464,11.64,90,100,5.04,NZ,1681349501
199,hermanus,-34.4187,19.2345,13.22,68,100,2.82,ZA,1681349308
200,tarauaca,-8.1614,-70.7656,25.04,87,100,0.92,BR,1681349501
201,port macquarie,-31.4333,152.9167,22.16,63,65,7.02,AU,1681349501
202,bilibino,68.0546,166.4372,-15.71,79,65,1.18,RU,1681349501
203,lipari,38.4674,14.954,13.51,70,1,5.38,IT,1681349501
204,broken hill,-31.95,141.4333,18.49,45,0,6.21,AU,1681349495
205,dajal,29.5577,70.3762,29.43,21,0,1.46,PK,1681349502
206,talnakh,69.4865,88.3972,-24.93,94,100,2.86,RU,1681349351
207,sorong,-0.8833,131.25,28.71,77,94,4.37,ID,1681349502
208,sayyan,15.1718,44.3244,15.23,64,68,1.27,YE,1681349502
209,udachnyy,66.4167,112.4,-10.86,51,9,4.95,RU,1681349503
210,correntina,-13.3433,-44.6367,21.89,79,89,1.42,BR,1681349503
211,knysna,-34.0363,23.0471,14.17,70,100,1.78,ZA,1681349503
212,san quintin,30.4833,-115.95,14.21,78,93,6.55,MX,1681349465
213,lompoc,34.6391,-120.4579,14.88,76,20,9.77,US,1681349346
